Fecha,Monto Cerrado,Precio,,Columna 1,Columna 2,Columna 3,,
14/3/2025,"$3,209,000",$936.65,,,,,,
25/3/2025,"$1,000,000",$920.40,,,,,,Volumen Total
11/4/2025,"$2,000,000",$977.70,,,,,,$0
11/4/2025,"$2,000,000",$977.00,,,,,,
11/4/2025,"$2,000,000",$973.00,,,,,,
11/4/2025,"$3,000,000",$972.00,,,,,,
11/4/2025,"$2,000,000",$973.40,,,,,,
11/4/2025,"$2,000,000",$973.40,,,,,,
11/4/2025,"$25,000,000",$972.67,,,,,,
14/4/2025,"$2,000,000",$966.45,,,,,,
14/4/2025,"$2,000,000",$965.00,,,,,,
14/4/2025,"$2,000,000",$965.70,,,,,,
14/4/2025,"$3,561,102",$965.50,,,,,,
14/4/2025,"$4,000,000",$968.40,,,,,,
14/4/2025,"$25,000,000",$969.71,,,,,,
15/4/2025,"$5,000,000",$968.97,,,,,,
15/4/2025,"$5,000,000",$964.00,,,,,,
15/4/2025,"$5,000,000",$965.35,,,,,,
15/4/2025,"$7,500,000",$970.98,,,,,,
15/4/2025,"$10,000,000",$971.90,,,,,,
16/4/2025,"$5,000,000",$970.98,,,,,,
16/4/2025,"$5,000,000",$973.50,,,,,,
16/4/2025,"$5,000,000",$970.50,,,,,,
16/4/2025,"$5,000,000",$969.79,,,,,,
16/4/2025,"$5,000,000",$968.70,,,,,,
16/4/2025,"$10,000,000",$971.40,,,,,,
17/4/2025,"$5,000,000",$970.40,,,,,,
17/4/2025,"$3,127,022",$972.00,,,,,,
17/4/2025,"$5,000,000",$970.00,,,,,,
17/4/2025,"$5,000,000",$969.70,,,,,,
17/4/2025,"$5,000,000",$971.20,,,,,,
17/4/2025,"$70,000,000",$968.28,,,,,,