Fecha,Monto Cerrado,Precio,Teoría,Realidad,Diferencia,Column 7
03/04,"$1,000,000.00",$949.30,"$1,053.41",,,
04/04,"$2,000,000.00",$980.00,"$2,040.82",,,
04/04,"$5,000,000.00",$981.60,"$5,093.72",,,
07/04,"$5,000,000.00",$995.60,"$5,022.10",,,
07/04,"$5,000,000.00",$989.00,"$5,055.61",,,
08/04,"$7,000,000.00","$1,002.45","$6,982.89",,,
08/04,"$3,000,000.00",$998.90,"$3,003.30",,,
09/04,"$2,000,000.00","$1,002.00","$1,996.01",,,
10/04,"$2,000,000.00",$981.40,"$2,037.91",,,
10/04,"$1,000,000.00",$986.40,"$1,013.79",,,
10/04,"$2,000,000.00",$989.25,"$2,021.73",,,
10/04,"$2,000,000.00",$986.90,"$2,026.55",,,
10/04,"$3,000,000.00",$991.30,"$3,026.33",,,
,,,"$40,374.16","$40,374.09",$0.07,